country	power distance	individualism	masculinity	uncertainty avoidance	long term thinking	indulgence vs restraint
Pakistan	55	14	50	70	50	0
Latvia	44	70	9	63	69	13
Estonia	40	60	30	60	82	16
Lithuania	42	60	19	65	82	16
Bulgaria	70	30	40	85	69	16
Hong Kong	68	25	57	29	61	17
Bangladesh	80	20	55	60	47	20
Romania	90	30	42	90	52	20
Russia	93	39	36	95	81	20
China	80	20	66	30	87	24
Morocco	70	46	53	68	14	25
India	77	48	56	40	51	26
Serbia	86	25	43	92	52	28
Slovak Rep	104	52	110	51	77	28
Czech Rep	57	58	57	74	70	29
Korea South	60	18	39	85	100	29
Poland	68	60	64	93	38	29
Italy	50	76	70	75	61	30
Hungary	46	80	88	82	58	31
Portugal	63	27	31	104	28	33
Croatia	73	33	40	80	58	33
Arab countries	80	38	53	68	23	34
Vietnam	70	20	40	30	57	35
Indonesia	78	14	46	48	62	38
Germany	35	67	66	65	83	40
Iran	58	41	43	59	14	40
Africa East	64	27	41	52	32	40
Japan	54	46	95	92	88	42
Philippines	94	32	64	44	27	42
Spain	57	51	42	86	48	44
Thailand	64	20	34	64	32	45
Peru	64	16	42	87	25	46
Singapore	74	20	48	8	72	46
France	68	71	43	86	63	48
Slovenia	71	27	19	88	49	48
Taiwan	58	17	45	69	93	49
Turkey	66	37	45	85	46	49
Greece	60	35	57	112	45	50
Uruguay	61	36	38	100	26	53
Norway	31	69	8	50	35	55
Luxembourg	40	60	50	70	64	56
Finland	33	63	26	59	38	57
Belgium	65	75	54	94	82	57
Malaysia	104	26	50	36	41	57
Brazil	69	38	49	76	44	59
Argentina	49	46	56	86	20	62
Austria	11	55	79	70	60	63
Ireland	28	70	68	35	24	65
Switzerland	34	68	70	58	74	66
Malta	56	59	47	96	47	66
Netherlands	38	80	14	53	67	68
Canada	39	80	52	48	36	68
U.S.A.	40	91	62	46	26	68
Chile	63	23	28	86	31	68
Great Britain	35	89	66	35	51	69
Denmark	18	74	16	23	35	70
Australia	38	90	61	51	21	71
New Zealand	22	79	58	49	33	75
Sweden	31	71	5	29	53	78
Africa West	77	20	46	54	9	78
Trinidad and Tobago	47	16	58	55	13	80
Colombia	67	13	64	80	13	83
El Salvador	66	19	40	94	20	89
Mexico	81	30	69	82	24	97
Venezuela	81	12	73	76	16	100
